Sample ID,Calc Concentration (ppm),days_since_start,Gas,Water Activity,Moles
exp_02_06_03,11425.508299060728,14.0,CO2,0.6918,4.749684393485314e-05
exp_02_06_03,2.13275832938425,14.0,CH4,0.6918,8.86606414962295e-09
exp_02_06_03,,14.0,N2O,0.6918,
exp_02_06_04,10432.936906950858,14.0,CO2,0.6918,4.337063726892143e-05
exp_02_06_04,1.0544588613853916,14.0,CH4,0.6918,4.383478324466506e-09
exp_02_06_04,,14.0,N2O,0.6918,
exp_02_06_05,12222.573204845927,14.0,CO2,0.6918,5.0810312924161934e-05
exp_02_06_05,1.9373498590714422,14.0,CH4,0.6918,8.053733934190976e-09
exp_02_06_05,,14.0,N2O,0.6918,
exp_02_01_01,51579.532798050925,21.0,CO2,0.95648,0.00021442065905663584
exp_02_01_01,6.680446365755054,21.0,CH4,0.95648,2.7771203708767103e-08
exp_02_01_01,,21.0,N2O,0.95648,
exp_02_01_02,61806.025928879884,21.0,CO2,0.95648,0.00025693309137229584
exp_02_01_02,5.099414196860517,21.0,CH4,0.95648,2.1198713783908394e-08
exp_02_01_02,,21.0,N2O,0.95648,
exp_02_01_03,40901.87085262656,21.0,CO2,0.95648,0.00017003267825646139
exp_02_01_03,6.804797210499568,21.0,CH4,0.95648,2.8288141118587452e-08
exp_02_01_03,,21.0,N2O,0.95648,
exp_02_01_04,50526.805563995,21.0,CO2,0.95648,0.00021004437925943554
exp_02_01_04,6.378451457089805,21.0,CH4,0.95648,2.6515784284917688e-08
exp_02_01_04,,21.0,N2O,0.95648,
exp_02_01_05,43909.6629499292,21.0,CO2,0.95648,0.00018253633481989082
exp_02_01_05,6.573859927402613,21.0,CH4,0.95648,2.7328114500349663e-08
exp_02_01_05,,21.0,N2O,0.95648,
exp_02_02_01,41353.03966722196,21.0,CO2,0.9197,0.00017190822674097582
exp_02_02_01,1.5483093590850336,21.0,CH4,0.9197,6.436458323467317e-09
exp_02_02_01,,21.0,N2O,0.9197,
exp_02_02_02,44661.61097425486,21.0,CO2,0.9197,0.00018566224896074816
exp_02_02_02,3.340737964045245,21.0,CH4,0.9197,1.3887741845020617e-08
exp_02_02_02,,21.0,N2O,0.9197,
exp_02_02_03,45263.16939371538,21.0,CO2,0.9197,0.00018816298027343403
exp_02_02_03,2.878863397851335,21.0,CH4,0.9197,1.1967688608545039e-08
exp_02_02_03,,21.0,N2O,0.9197,
exp_02_02_04,55790.44173427462,21.0,CO2,0.9197,0.00023192577824543702
exp_02_02_04,1.246314450419785,21.0,CH4,0.9197,5.181038899617901e-09
exp_02_02_04,,21.0,N2O,0.9197,
exp_02_02_05,45714.33820831078,21.0,CO2,0.9197,0.00019003852875794846
exp_02_02_05,3.9624921877678156,21.0,CH4,0.9197,1.6472428894122355e-08
exp_02_02_05,,21.0,N2O,0.9197,
