variant,variant_label,batch_name,experiment,batch_id,brine,water_activity,ionic_strength,chloride,sulfate,ch4_moles,ch4_per_starting_c
ceiling,"No Cl- terms, no sulfate pathways",Exp003_B04_SWSu_H,Exp003,4,SWSu_H,0.86638,4.5122971164377885,3.4932495839583284,0.2009058995156624,0.00010612318937878426,0.001878304785769319
ceiling,"No Cl- terms, no sulfate pathways",Exp003_B05_SW_M,Exp003,5,SW_M,0.919646,2.9657275210875915,2.328450879328879,0.119922989141721,0.00011232525508967496,0.0019880769267557894
ceiling,"No Cl- terms, no sulfate pathways",Exp003_B06_SWSu_M,Exp003,6,SWSu_M,0.91868,2.9768313291570707,2.327286576381881,0.1240586138387427,0.00011228609492298977,0.0019873838197268083
ceiling,"No Cl- terms, no sulfate pathways",Exp003_B07_SW_L,Exp003,7,SW_L,0.9625,1.4825345067567817,1.163966936054636,0.0599481807724605,0.00011857334903701586,0.002098663734709122
ceiling,"No Cl- terms, no sulfate pathways",Exp003_B08_SWSu_L,Exp003,8,SWSu_L,0.962136,1.4954304258568445,1.1642048853421323,0.0641580510125522,0.00011852793978923612,0.002097860023400386
ceiling,"No Cl- terms, no sulfate pathways",Exp004_B01_C,Exp004,1,C,1.0,0.0,0.0,0.0,0.0001364309353212885,0.002414730279414227
ceiling,"No Cl- terms, no sulfate pathways",Exp004_B02_Na_H,Exp004,2,Na_H,0.845,3.593429158110883,3.593429158110883,0.0,0.00010957060844359302,0.00193932164519361
ceiling,"No Cl- terms, no sulfate pathways",Exp004_B03_Na_M,Exp004,3,Na_M,0.903,2.395619438526694,2.395619438526694,0.0,0.00011475694076594791,0.002031116029424742
ceiling,"No Cl- terms, no sulfate pathways",Exp004_B04_Na_L,Exp004,4,Na_L,0.962,1.197809719584189,1.197809719584189,0.0,0.00011996282439014248,0.002123256457758284
ceiling,"No Cl- terms, no sulfate pathways",Exp004_B05_Mg_H,Exp004,5,Mg_H,0.824,5.810378750614854,3.873585833743236,0.0,0.0001093009872999641,0.0019345495431922727
ceiling,"No Cl- terms, no sulfate pathways",Exp004_B06_Mg_M,Exp004,6,Mg_M,0.902,3.873585833743236,2.582390555828824,0.0,0.00011374220761676477,0.002013155976192771
ceiling,"No Cl- terms, no sulfate pathways",Exp004_B07_Mg_L,Exp004,7,Mg_L,0.967,1.936792916871618,1.291195277914412,0.0,0.00011889650045842787,0.002104383284459929
